closed_date,stock_name,closed_price,closed_volume
09/03/2017,AAPL,138.68,22155904.0
09/03/2017,GOOG,838.68,1261517.0
09/03/2017,AMZN,853.0,2048187.0
08/03/2017,AAPL,139.0,18707236.0
08/03/2017,GOOG,835.37,989773.0
08/03/2017,AMZN,850.5,2288317.0
07/03/2017,AAPL,139.52,17446297.0
07/03/2017,GOOG,831.91,1037630.0
07/03/2017,AMZN,846.02,2247554.0
06/03/2017,AAPL,139.34,21750044.0
06/03/2017,GOOG,827.78,1109037.0
06/03/2017,AMZN,846.61,2610370.0
03/03/2017,AAPL,139.78,21571121.0
03/03/2017,GOOG,829.08,896378.0
03/03/2017,AMZN,849.88,1951575.0
02/03/2017,AAPL,138.96,26210984.0
02/03/2017,GOOG,830.63,942476.0
02/03/2017,AMZN,848.91,2132098.0
01/03/2017,AAPL,139.79,36414585.0
01/03/2017,GOOG,835.24,1496540.0
01/03/2017,AMZN,853.08,2760083.0
28/02/2017,AAPL,136.99,23482860.0
28/02/2017,GOOG,823.21,2260769.0
28/02/2017,AMZN,845.04,2793709.0
27/02/2017,AAPL,136.93,20257426.0
27/02/2017,GOOG,829.28,1101466.0
27/02/2017,AMZN,848.64,2713627.0
24/02/2017,AAPL,136.66,21776585.0
24/02/2017,GOOG,828.64,1392202.0
24/02/2017,AMZN,845.24,3687963.0
23/02/2017,AAPL,136.53,20788186.0
23/02/2017,GOOG,831.33,1472771.0
23/02/2017,AMZN,852.19,3461984.0
22/02/2017,AAPL,137.11,20836932.0
22/02/2017,GOOG,830.76,987248.0
22/02/2017,AMZN,855.61,2616971.0
21/02/2017,AAPL,136.7,24507156.0
21/02/2017,GOOG,831.66,1262337.0
21/02/2017,AMZN,856.44,3507742.0
17/02/2017,AAPL,135.72,22198197.0
17/02/2017,GOOG,828.07,1611039.0
17/02/2017,AMZN,845.07,3112275.0
16/02/2017,AAPL,135.345,22584555.0
16/02/2017,GOOG,824.16,1287626.0
16/02/2017,AMZN,844.14,2714667.0
15/02/2017,AAPL,135.51,35623100.0
15/02/2017,GOOG,818.98,1313617.0
15/02/2017,AMZN,842.7,2968853.0
14/02/2017,AAPL,135.02,33226223.0
14/02/2017,GOOG,820.45,1054732.0
14/02/2017,AMZN,836.39,2792442.0
13/02/2017,AAPL,133.29,23035421.0
13/02/2017,GOOG,819.24,1213324.0
13/02/2017,AMZN,836.53,4172618.0
10/02/2017,AAPL,132.12,20065458.0
10/02/2017,GOOG,813.67,1134976.0
10/02/2017,AMZN,827.46,2429609.0
09/02/2017,AAPL,132.42,28349859.0
09/02/2017,GOOG,809.56,990391.0
09/02/2017,AMZN,821.36,2484948.0
08/02/2017,AAPL,132.04,23004072.0
08/02/2017,GOOG,808.38,1155990.0
08/02/2017,AMZN,819.71,2857985.0
07/02/2017,AAPL,131.53,38183841.0
07/02/2017,GOOG,806.97,1241221.0
07/02/2017,AMZN,812.5,3466091.0
06/02/2017,AAPL,130.29,26845924.0
06/02/2017,GOOG,801.34,1184483.0
06/02/2017,AMZN,807.64,3897301.0
03/02/2017,AAPL,129.08,24507301.0
03/02/2017,GOOG,801.49,1463448.0
03/02/2017,AMZN,810.2,10868773.0
02/02/2017,AAPL,128.53,33710411.0
02/02/2017,GOOG,798.53,1532138.0
02/02/2017,AMZN,839.95,7350492.0
01/02/2017,AAPL,128.75,111985040.0
01/02/2017,GOOG,795.695,2029744.0
01/02/2017,AMZN,832.35,3850181.0
31/01/2017,AAPL,121.35,49200993.0
31/01/2017,GOOG,796.79,2160556.0
31/01/2017,AMZN,823.48,3137196.0
30/01/2017,AAPL,121.63,30377503.0
30/01/2017,GOOG,802.32,3246573.0
30/01/2017,AMZN,830.38,3747336.0
27/01/2017,AAPL,121.95,20562944.0
27/01/2017,GOOG,823.31,2965771.0
27/01/2017,AMZN,835.77,2998700.0
26/01/2017,AAPL,121.94,26337576.0
26/01/2017,GOOG,832.15,2973891.0
26/01/2017,AMZN,839.15,3586323.0
